"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
5.74,5.74,1,1,1,0,0,-0.481211954632099,5447.63376681751,
5.76,5.76,1,1,1,0,0,-0.481112206260245,5447.93298212903,
5.78,5.78,1,1,1,0,0,-0.481012428086069,5451.58436260384,
5.8,5.8,1,1,1,0,0,-0.480912679714216,5456.65016127433,
5.82,5.82,1,1,1,0,0,-0.480812931342363,5461.79165784235,
5.84,5.84,1,1,1,0,0,-0.480713182970509,5466.15889008834,
5.86,5.86,1,1,1,0,0,-0.480613434598656,5467.27349692607,
5.88,5.88,1,1,1,0,0,-0.48051365642448,5465.87874826282,
5.9,5.9,1,1,1,0,0,-0.480413908052627,5462.90745677295,
5.92,5.92,1,1,1,0,0,-0.480314159680773,5458.60042521713,
5.94,5.94,1,1,1,0,0,-0.48021441130892,5454.26478343231,
5.96,5.96,1,1,1,0,0,-0.480114662937066,5448.28166929484,
5.98,5.98,1,1,1,0,0,-0.480014884762891,5440.2624605276,
6,6,1,1,1,0,0,-0.479915136391037,5431.41772744472,
6.02,6.02,1,1,1,0,0,-0.479815388019184,5422.95207989596,
6.04,6.04,1,1,1,0,0,-0.47971563964733,5417.75336286996,
6.06,6.06,1,1,1,0,0,-0.479615891275477,5415.90204263575,
6.08,6.08,1,1,1,0,0,-0.479516113101301,5414.52040699412,
6.1,6.1,1,1,1,0,0,-0.479416364729448,5413.13936739893,
6.12,6.12,1,1,1,0,0,-0.479316616357594,5411.75832780374,
6.14,6.14,1,1,1,0,0,-0.479216867985741,5411.21771368512,
6.16,6.16,1,1,1,0,0,-0.479117119613887,5412.47000724986,
6.18,6.18,1,1,1,0,0,-0.479017341439712,5414.00482682587,
6.2,6.2,1,1,1,0,0,-0.478917593067858,5415.53964640188,
6.22,6.22,1,1,1,0,0,-0.478817844696005,5417.07446597789,
6.24,6.24,1,1,1,0,0,-0.478718096324151,5418.6092855539,
6.26,6.26,1,1,1,0,0,-0.478618318149976,5419.8162795894,
6.28,6.28,1,1,1,0,0,-0.478518569778122,5420.48563973847,
6.3,6.3,1,1,1,0,0,-0.478418821406269,5421.09956756888,
6.32,6.32,1,1,1,0,0,-0.478319073034415,5421.19612709172,
6.34,6.34,1,1,1,0,0,-0.478219324662562,5420.47312276329,
6.36,6.36,1,1,1,0,0,-0.478119546488386,5419.74415797049,
6.38,6.38,1,1,1,0,0,-0.478019798116533,5418.74756832735,
6.4,6.4,1,1,1,0,0,-0.477920049744679,5417.22109340146,
6.42,6.42,1,1,1,0,0,-0.477820301372826,5415.6087877886,
6.44,6.44,1,1,1,0,0,-0.477720553000972,5413.45706015,
6.46,6.46,1,1,1,0,0,-0.477620774826797,5410.39814983385,
6.48,6.48,1,1,1,0,0,-0.477521026454943,5406.49166148389,
6.5,6.5,1,1,1,0,0,-0.47742127808309,5402.46298361427,
6.52,6.52,1,1,1,0,0,-0.477321529711236,5399.54235607158,
6.54,6.54,1,1,1,0,0,-0.477221781339383,5397.71368560198,
